,title,m_title,score,u_genre_id,m_id,,m_author,,author
651,That hideous strength,The house with the green shutters,53,,BrowGHW,,"Brown, George Douglas",,"Lewis, C. S."
652,Dread journey,Doctor Thorne,54,,TrolADT,,"Trollope, Anthony",,"Hughes, Dorothy B. 1904- "
653,Murder is my business,Persuasion,45,,AustJP,,"Austen, Jane",,"Halliday, Brett,"
654,Animal farm,Vanity Fair,64,,ThacWVF,,"Thackeray, William Makepeace",,"Orwell, George,"
655,Wars I have seen,The house with the green shutters,50,,BrowGHW,,"Brown, George Douglas",,"Stein, Gertrude,"
656,The innocent flower,The sign of four,63,,DoylASF,,"Doyle, Arthur Conan",,"Armstrong, Charlotte,"
657,Thieves in the night,Dreamers of the Ghetto,57,,ZangIDG,,"Zangwill, Israel",,"Koestler, Arthur,"
658,Lord Hornblower,Doctor Thorne,57,,TrolADT,,"Trollope, Anthony",,"Forester, C. S."
659,The time stream,The moonstone,57,,CollWM,,"Collins, Wilkie",,"Taine, John,"
660,The green man,The Virginian,62,,,,"Wister, Owen",,"Sherman, Harold M."
661,The silent speaker,The Aspern papers,69,,,,"James, Henry",,"Stout, Rex,"
662,Anthem,Ivanhoe,62,,ScotWI,,"Scott, Walter, Sir",,"Rand, Ayn,"
663,Delta Wedding,Lavengro,48,,BorrGL,,"Borrow, George Henry",,"Welty, Eudora,"
664,The solar invasion,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"Wellman, Manly Wade,"
665,Slan,St. Leon,50,,GodwWSL,,"Godwin, William",,"Van Vogt, A. E. 1912-  (A"
666,Day of the conquerors,One of our conquerors,71,,MereGOO,,"Meredith, George",,"Busch, Niven,"
667,The shadow girl,The entail,56,,GaltJE,,"Galt, John",,"Cummings, Ray,"
668,Titus Groan,The Heroine,45,,BarrEH,,"Barrett, Eaton Stannard",,"Peake, Mervyn,"
669,Crows can't count,North and south,50,,GaskENS,,"Gaskell, Elizabeth Cleghorn",,"Fair, A. A."
670,Rocket ship Galileo,Crotchet Castle,53,,PeacTCC,,"Peacock, Thomas Love",,"Heinlein, Robert A."
671,Eustace and Hilda,The Eustace diamonds,59,,TrolAED,,"Trollope, Anthony",,"Hartley, L. P."
672,A Room on the Route,The prophet of the Great Smoky Mountains,56,,MurfMPG,,"Murfree, Mary Noailles",,"Blunden, Godfrey"
673,More than love,North and south,55,,GaskENS,,"Gaskell, Elizabeth Cleghorn",,"Robins, Denise,"
674,The wild Yazoo,Nether world,54,,GissGNW,,"Gissing, George",,"Myers, John Myers,"
675,The book of Ptath,At the back of the north wind,69,,MacDGAB,,"MacDonald, George",,"Van Vogt, A. E. 1912-2000"
676,The forbidden garden,The Virginian,55,,,,"Wister, Owen",,"Taine, John,"
677,Ten days' wonder,The absentee,50,,EdgeMA,,"Edgeworth, Maria",,"Queen, Ellery,"
678,Walden Two,Warden,62,,TrolAW,,"Trollope, Anthony",,"Skinner, B. F."
679,The ides of March,The sign of four,61,,DoylASF,,"Doyle, Arthur Conan",,"Wilder, Thornton,"
680,Darker than you think,North and south,56,,GaskENS,,"Gaskell, Elizabeth Cleghorn",,"Williamson, Jack,"
681,The dead ringer,The Heroine,69,,BarrEH,,"Barrett, Eaton Stannard",,"Brown, Fredric,"
682,Two stories by Derleth,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,54,,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Derleth, August,"
683,Skylark three,Bleak House,50,,DickCBH,,"Dickens, Charles",,"Smith, E. E."
684,The Dancing Druids,The Eustace diamonds,58,,TrolAED,,"Trollope, Anthony",,"Mitchell, Gladys,"
685,Crooked house,Bleak House,58,,DickCBH,,"Dickens, Charles",,"Christie, Agatha,"
686,The March Hare murders,The Aspern papers,56,,,,"James, Henry",,"Ferrars, E. X,"
687,Nineteen eighty-four,The sign of four,50,,DoylASF,,"Doyle, Arthur Conan",,"Orwell, George,"
688,Four lost ladies,Woodlanders,52,,HardTW,,"Hardy, Thomas",,"Palmer, Stuart,"
689,Silverlock,Lavengro,56,,BorrGL,,"Borrow, George Henry",,"Myers, John Myers,"
690,Seven out of time,Return of native,55,,HardTRN,,"Hardy, Thomas",,"Zagat, Arthur Leo,"
691,The second confession,The professor,59,,BronCP,,"Bronte, Charlotte",,"Stout, Rex,"
692,The Amphibians,The Bostonians,64,,JameHB,,"James, Henry",,"Wright, S. Fowler,"
693,The Catherine-wheel,The Heroine,67,,BarrEH,,"Barrett, Eaton Stannard",,"Wentworth, Patricia,"
694,Conan the conqueror,One of our conquerors,65,,MereGOO,,"Meredith, George",,"Howard, Robert E."
695,The 31st of February,The sign of four,67,,DoylASF,,"Doyle, Arthur Conan",,"Symons, Julian,"
696,The green man of Graypec,The sign of four,55,,DoylASF,,"Doyle, Arthur Conan",,"Pragnell, Festus,"
697,A man divided,Man and wife,56,,CollWMW,,"Collins, Wilkie",,"Stapledon, Olaf,"
698,Through the wall,Through the Sikh war; a tale of the conquest of the Punjaub,72,,HentGTS,,"Henty, George Alfred",,"Wentworth, Patricia,"
699,Worlds within,Wild Irish girl,50,,MorgLWI,,"Morgan, Lady (Sydney)",,"Phillips, Rog,"
700,Foxfire,Coming race,44,,LyttECR,,"Lytton, Edward Bulwer Lytton",,"Seton, Anya,"
701,The grass is singing,The Coral Island,56,,BallRCI,,"Ballantyne, R. M.",,"Lessing, Doris,"
702,The lion: the witch and t,Melmoth the wanderer,56,,MatuCMW,,"Maturin, Charles Robert",,"Lewis, C. S."
703,Frequent hearses,Quentin Durward,52,,ScotWQD,,"Scott, Walter, Sir",,"Crispin, Edmund,"
704,Elephant's work,Sylvia's lovers,47,,GaskESL,,"Gaskell, Elizabeth Cleghorn",,"Bentley, E. C."
705,The year of the Spaniard,The wreck of the Grosvenor,64,,RussWWG,,"Russell, William Clark",,"Castor, Henry,"
706,I: robot,Rob Roy,53,,ScotWRR,,"Scott, Walter, Sir",,"Asimov, Isaac,"
707,The proud and the free,The prophet of the Great Smoky Mountains,65,,MurfMPG,,"Murfree, Mary Noailles",,"Fast, Howard,"
708,The frightened fianc?????_e,The Fortunate Foundlings,51,,HaywEFF,,"Haywood, Eliza, 1693-1756",,"Coxe, George Harmon,"
709,The house that stood stil,The house with the green shutters,61,,BrowGHW,,"Brown, George Douglas",,"Van Vogt, A. E. 1912-2000"
710,The disappearance,The Aspern papers,59,,,,"James, Henry",,"Wylie, Philip,"
711,The big kill,The Virginian,56,,,,"Wister, Owen",,"Spillane, Mickey,"
712,A gentle murderer,Melmoth the wanderer,49,,MatuCMW,,"Maturin, Charles Robert",,"Davis, Dorothy Salisbury,"
713,Foundation,Loss and gain,52,,NewmJLG,,"Newman, John Henry",,"Asimov, Isaac,"
714,The house of many worlds,The woman who did,59,,AlleGWW,,"Allen, Grant",,"Merwin, Sam,"
715,Wine of the dreamers,Diana of the crossways,62,,MereGDC,,"Meredith, George",,"MacDonald, John D."
716,The tiger in the smoke,The mill on the floss,60,,ElioGMF,,"Eliot, George",,"Allingham, Margery,"
717,Foundation and empire,Man and wife,55,,CollWMW,,"Collins, Wilkie",,"Asimov, Isaac,"
718,Deep end,Daniel Deronda,55,,ElioGDD,,"Eliot, George",,"Brown, Fredric,"
719,Son of the stars,Annals of the parish,67,,GaltJAP,,"Galt, John",,"Jones, Raymond F."
720,Kiss me: deadly,Sense and sensibility,44,,AustJSS,,"Austen, Jane",,"Spillane, Mickey,"
721,Player piano,Lady Susan,55,,AustJLS,,"Austen, Jane",,"Vonnegut, Kurt,"
722,A shot in the dark,Annals of the parish,53,,GaltJAP,,"Galt, John",,"Powell, Richard,"
723,The natural,The entail,76,,GaltJE,,"Galt, John",,"Malamud, Bernard"
724,Mystery of the third mine,The mystery of Edwin Drood,59,,DickCME,,"Dickens, Charles",,"Lowndes, Robert W,"
725,West of the sun,Weir of Hermiston,62,,StevRWH,,"Stevenson, Robert Louis",,"Pangborn, Edgar,"
726,Second foundation,The Fortunate Foundlings,54,,HaywEFF,,"Haywood, Eliza, 1693-1756",,"Asimov, Isaac,"
727,The lights in the sky are,The mill on the floss,62,,ElioGMF,,"Eliot, George",,"Brown, Fredric,"
728,Fahrenheit 451,Frankenstein,46,,ShelMF,,"Shelley, Mary Wollstonecraft",,"Bradbury, Ray,"
729,The heart of the family,The prophet of the Great Smoky Mountains,68,,MurfMPG,,"Murfree, Mary Noailles",,"Goudge, Elizabeth,"
730,Tooner Schooner,The moonstone,57,,CollWM,,"Collins, Wilkie",,"Lasswell, Mary,"
731,Jordan County,North and south,57,,GaskENS,,"Gaskell, Elizabeth Cleghorn",,"Foote, Shelby,"
732,The star beast,The absentee,62,,EdgeMA,,"Edgeworth, Maria",,"Heinlein, Robert A."
733,Tell her it's murder,The Heroine,52,,BarrEH,,"Barrett, Eaton Stannard",,"Reilly, Helen,"
734,Never leave me,No name,48,,CollWNN,,"Collins, Wilkie",,"Robbins, Harold,"
735,Step to the stars,Annals of the parish,59,,GaltJAP,,"Galt, John",,"Del Rey, Lester,"
736,I am legend,A legend of Montrose,52,,ScotWLM,,"Scott, Walter, Sir",,"Matheson, Richard,"
737,Lord Grizzly,Old mortality,48,,ScotWOM,,"Scott, Walter, Sir",,"Manfred, Frederick Feikem"
738,Death in lilac time,"Vathek, an Arabian tale",52,,BeckWVA,,"Beckford, William",,"Crane, Frances,"
739,A charmed life,Man and wife,62,,CollWMW,,"Collins, Wilkie",,"McCarthy, Mary"
740,Before midnight,Prime Minister,55,,TrolAPM,,"Trollope, Anthony",,"Stout, Rex,"
741,You live once,Can you forgive her?,55,,TrolACY,,"Trollope, Anthony",,"MacDonald, John D."
742,Mission to the moon,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,52,,RichSCO3,,"Richardson, Samuel, 1689-1761",,"Del Rey, Lester,"
743,Double star,Uncle Silas,55,,LefaJUS,,"Le Fanu, Joseph Sheridan",,"Heinlein, Robert A."
744,Man on a rope,Man and wife,56,,CollWMW,,"Collins, Wilkie",,"Coxe, George Harmon,"
745,Horror on the Ruby X,In the roar of the sea,53,,BariSIR,,"Baring-Gould, Sabine",,"Crane, Frances,"
746,The black cloud,At the back of the north wind,61,,MacDGAB,,"MacDonald, George",,"Hoyle, Fred,"
747,My lady: my love,Sylvia's lovers,52,,GaskESL,,"Gaskell, Elizabeth Cleghorn",,"Malvern, Gladys,"
748,Doomsday morning,Guy Mannering,48,,ScotWGM,,"Scott, Walter, Sir",,"Moore, C. L."
749,Eye in the sky,The mill on the floss,57,,ElioGMF,,"Eliot, George",,"Dick, Philip K,"
750,The travels of Jaimie McP,The history of David Grieve (Vol. 1/3),54,,WardHHD,,"Ward, Humphry, Mrs.",,"Taylor, Robert Lewis,"
751,The poorhouse fair,The professor,58,,BronCP,,"Bronte, Charlotte",,"Updike, John,"
752,North from Rome,News from nowhere,56,,MorrWNF,,"Morris, William",,"MacInnes, Helen,"
753,Love is a wild assault,Cloister and hearth,49,,ReadCCH,,"Reade, Charles",,"Kirkland, Elithe Hamilton"
754,The case of the deadly to,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,67,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Gardner, Erle Stanley,"
755,Not in solitude,North and south,60,,GaskENS,,"Gaskell, Elizabeth Cleghorn",,"Gantz, Kenneth Franklin,"
756,Starship troopers,The Aspern papers,53,,,,"James, Henry",,"Heinlein, Robert A."
757,The crazy kill,The Coral Island,67,,BallRCI,,"Ballantyne, R. M.",,"Himes, Chester B."
758,Psycho,Daisy chain,47,,YongCDC,,"Yonge, Charlotte Mary",,"Bloch, Robert,"
759,The Haunting of Hill House,The adventures of Sherlock Holmes,58,,DoylAAS,,"Doyle, Arthur Conan, Sir",,"Jackson, Shirley,"
760,Children of the albatross,The mill on the floss,61,,ElioGMF,,"Eliot, George",,"Nin, Anais,"
761,Plot it yourself,Doctor Thorne,48,,TrolADT,,"Trollope, Anthony",,"Stout, Rex,"
762,Store of infinity,Story of an African farm,59,,SchrOSA,,"Schreiner, Olive",,"Sheckley, Robert,"
763,Weekend in Dinlock,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,48,,SterLLO,,"Sterne, Laurence, 1713-1768",,"Sigal, Clancy,"
764,Decision at Delphi,The rise of Silas Lapham,48,,HoweWRS,,"Howells, William Dean",,"MacInnes, Helen,"
765,Give the boys a great big,The prophet of the Great Smoky Mountains,58,,MurfMPG,,"Murfree, Mary Noailles",,"McBain, Ed,"
766,The man in the cage,The woman in white,70,,CollWWI,,"Collins, Wilkie",,"Vance, Jack,"
767,The carpetbaggers,The Aspern papers,65,,,,"James, Henry",,"Robbins, Harold,"
768,The final deduction,The Eustace diamonds,51,,TrolAED,,"Trollope, Anthony",,"Stout, Rex,"
769,Dark universe,Hard times,52,,DickCHT,,"Dickens, Charles",,"Galouye, Daniel F,"
770,Unwise child,Duke's children,59,,TrolADC,,"Trollope, Anthony",,"Garrett, Randall,"
771,The ticket that exploded,The house with the green shutters,50,,BrowGHW,,"Brown, George Douglas",,"Burroughs, William S."
772,Something wicked this way,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,46,,HaylWYW,,"Hayley, William, 1745-1820",,"Bradbury, Ray,"
773,When they come from space,THE MONK: A ROMANCE.,53,,LewiMMR,,"Lewis, M. G. (Matthew Gregory), 1775-1818",,"Clifton, Mark,"
774,A wrinkle in time,Hard times,52,,DickCHT,,"Dickens, Charles",,"L'Engle, Madeleine,"
775,Island,Treasure Island,57,,StevRTI,,"Stevenson, Robert Louis",,"Huxley, Aldous,"
776,Gambit,Egoist,50,,MereGE,,"Meredith, George",,"Stout, Rex,"
777,Extra kill,Peter Simple,55,,MarrFPS,,"Marryat, Frederick",,"Shannon, Dell,"
778,Visions of Gerard,Impressions of Theophrastus Such,53,,ElioGIT,,"Eliot, George",,"Kerouac, Jack,"
779,Cat's Cradle,Armadale,60,,CollWA,,"Collins, Wilkie",,"Vonnegut, Kurt,"
780,Grandmother and the pries,"Vikram and the vampire; or, Tales of Hindu devilry",58,,BurtRVV,,"Burton, Richard Francis, Sir",,"Caldwell, Taylor,"
781,Agrippa's daughter,Wives and daughters,59,,GaskEWD,,"Gaskell, Elizabeth Cleghorn",,"Fast, Howard,"
782,Corridors of power,Bride of Lammermoor,49,,ScotWBL,,"Scott, Walter, Sir",,"Snow, C. P."
783,Close to critical,Scenes of clerical life,55,,ElioGSC,,"Eliot, George",,"Clement, Hal,"
784,Nova Express,The professor,48,,BronCP,,"Bronte, Charlotte",,"Burroughs, William S."
785,The martyred,The absentee,58,,EdgeMA,,"Edgeworth, Maria",,"Kim, Richard E."
786,Laughing whitefish,The woman in white,50,,CollWWI,,"Collins, Wilkie",,"Traver, Robert,"
787,In the heat of the night,In the roar of the sea,83,,BariSIR,,"Baring-Gould, Sabine",,"Ball, John Dudley,"
788,The voice at the back doo,The prophet of the Great Smoky Mountains,58,,MurfMPG,,"Murfree, Mary Noailles",,"Spencer, Elizabeth,"
789,The mind readers,The Aspern papers,61,,,,"James, Henry",,"Allingham, Margery,"
790,A deadly shade of gold,A tale of a lonely parish,55,,CrawFTL,,"Crawford, Francis Marion",,"MacDonald, John D."
791,The green berets,Three clerks,64,,TrolATC,,"Trollope, Anthony",,"Moore, Robin,"
792,The eye,The Heroine,67,,BarrEH,,"Barrett, Eaton Stannard",,"Nabokov, Vladimir Vladimi"
793,The meandering corpse,The Aspern papers,58,,,,"James, Henry",,"Prather, Richard S,"
794,Code three,Doctor Thorne,61,,TrolADT,,"Trollope, Anthony",,"Raphael, Rick,"
795,Choice of straws,Last chronicle of Barset,60,,TrolALC,,"Trollope, Anthony",,"Braithwaite, E. R.  (Edwa"
796,Totempole,Peter Simple,57,,MarrFPS,,"Marryat, Frederick",,"Friedman, Sanford,"
797,The crying of lot 49,The sign of four,61,,DoylASF,,"Doyle, Arthur Conan",,"Pynchon, Thomas,"
798,Now wait for last year,Cloister and hearth,49,,ReadCCH,,"Reade, Charles",,"Dick, Philip K,"
799,The eyes of Heisenberg,The wreck of the Grosvenor,62,,RussWWG,,"Russell, William Clark",,"Herbert, Frank,"
800,Darker than amber,Northanger Abbey,55,,AustJNA,,"Austen, Jane",,"MacDonald, John D."
801,Babel-17,Black beauty,40,,SeweABB,,"Sewell, Anna",,"Delany, Samuel R,"
802,The busy body,The Eustace diamonds,55,,TrolAED,,"Trollope, Anthony",,"Westlake, Donald E,"
803,This immortal,Old mortality,54,,ScotWOM,,"Scott, Walter, Sir",,"Zelazny, Roger,"
804,A woman of the people,Dreamers of the Ghetto,56,,ZangIDG,,"Zangwill, Israel",,"Capps, Benjamin,"
805,Fantastic voyage,St. Patrick's Eve,48,,LeveCSP,,"Lever, Charles James",,"Asimov, Isaac,"
806,The castle of Llyr,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,73,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Alexander, Lloyd,"
807,The witches of Karres,The way of all flesh,59,,ButlSWA,,"Butler, Samuel",,"Schmitz, James H."
808,The Pleasant Grove murder,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,57,,DefoDLS,,"Defoe, Daniel, 1661?-1731",,"Vance, Jack,"
809,Poor George,Doctor Thorne,58,,TrolADT,,"Trollope, Anthony",,"Fox, Paula,"
810,The cat who ate Danish mo,The woman who did,62,,AlleGWW,,"Allen, Grant",,"Braun, Lilian Jackson,"
811,The free-lance pallbearer,The Aspern papers,52,,,,"James, Henry",,"Reed, Ishmael,"
812,Crazy weather,Catherine,55,,ThacWC,,"Thackeray, William Makepeace",,"McNichols, Charles Longstreth,"
813,Rosemary's baby,Mary Barton,54,,GaskEMB,,"Gaskell, Elizabeth Cleghorn",,"Levin, Ira,"
814,House of cards,Tom Burke Of ours,58,,LeveCTB,,"Lever, Charles",,"Ellin, Stanley,"
815,Expensive people,Peter Simple,50,,MarrFPS,,"Marryat, Frederick",,"Oates, Joyce Carol,"
816,Dagon,Lavengro,46,,BorrGL,,"Borrow, George Henry",,"Chappell, Fred,"
817,The jackal's head,The Coral Island,61,,BallRCI,,"Ballantyne, R. M.",,"Peters, Elizabeth,"
818,The pretenders,The Aspern papers,65,,,,"James, Henry",,"Davis, Gwen,"
819,The goodbye look,"The Tower of London, a historical romance",53,,AinsWTL,,"Ainsworth, William Harrison",,"Macdonald, Ross,"
820,Ada,Armadale,55,,CollWA,,"Collins, Wilkie",,"Nabokov, Vladimir Vladimi"
821,Galactic pot-healer,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,49,,DefoDTR,,"Defoe, Daniel, 1661?-1731",,"Dick, Philip K,"
822,Darkest hour,Barchester Towers,55,,TrolABT,,"Trollope, Anthony",,"Nielsen, Helen,"
823,The house on the strand,The house with the green shutters,72,,BrowGHW,,"Brown, George Douglas",,"Du Maurier, Daphne,"
824,Girl watcher's funeral,Silas Marner,47,,ElioGSM,,"Eliot, George",,"Pentecost, Hugh,"
825,The phoenix and the mirro,The spaewife; a tale of the Scottish chronicles (Vol. 2/3),58,,GaltJST2,,"Galt, John",,"Davidson, Avram,"
826,Death of a dude,Diary of a nobody,56,,GrosGDN,,"Grossmith, George",,"Stout, Rex,"
827,Tau zero,The Heroine,53,,BarrEH,,"Barrett, Eaton Stannard",,"Anderson, Poul,"
828,Survival Zero,Vivian Grey,50,,DisrBVG,,"Disraeli, Benjamin",,"Spillane, Mickey,"
829,Downward to the earth,Annals of the parish,59,,GaltJAP,,"Galt, John",,"Silverberg, Robert,"
830,The Troika incident,The Heroine,60,,BarrEH,,"Barrett, Eaton Stannard",,"Brown, James Cooke,"
831,Deryni rising,Dombey and Son,52,,DickCDS,,"Dickens, Charles",,"Kurtz, Katherine,"
832,Galloway,Camilla,53,,BurnFC,,"Burney, Fanny",,"L'Amour, Louis,"
833,The vivisector,The Virginians,57,,ThacWV,,"Thackeray, William Makepeace",,"White, Patrick,"
834,Looking beyond,Coningsby,52,,DisrBC,,"Disraeli, Benjamin",,"Geissler, Ludwig A,"
835,Oh: God!,Rob Roy,40,,ScotWRR,,"Scott, Walter, Sir",,"Corman, Avery,"
836,The exorcist,The provost,61,,GaltJP,,"Galt, John",,"Blatty, William Peter"
837,Gray matters,Esther Waters,56,,MoorGEW,,"Moore, George",,"Hjortsberg, William,"
838,The deadly joke,The entail,56,,GaltJE,,"Galt, John",,"Pentecost, Hugh,"
839,The fools in town are on ,The moonstone,65,,CollWM,,"Collins, Wilkie",,"Thomas, Ross,"
840,The stalker,The entail,67,,GaltJE,,"Galt, John",,"Pronzini, Bill,"
841,The Stepford wives,The history of David Grieve (Vol. 1/3),58,,WardHHD,,"Ward, Humphry, Mrs.",,"Levin, Ira,"
842,A dog's ransom,Dombey and Son,50,,DickCDS,,"Dickens, Charles",,"Highsmith, Patricia,"
843,Edwin Mullhouse,Bleak House,54,,DickCBH,,"Dickens, Charles",,"Millhauser, Steven,"
844,Herovit's world,Nether world,67,,GissGNW,,"Gissing, George",,"Malzberg, Barry N,"
845,Please pass the guilt,Dreamers of the Ghetto,51,,ZangIDG,,"Zangwill, Israel",,"Stout, Rex,"
846,Last night at the brain t,Island nights' entertainments,58,,StevRIN,,"Stevenson, Robert Louis",,"Spencer, Scott,"
847,The little brothers,The mill on the floss,60,,ElioGMF,,"Eliot, George",,"Davis, Dorothy Salisbury,"
848,Breakfast of Champions,Great expectations,55,,DickCGE,,"Dickens, Charles",,"Vonnegut, Kurt,"
849,Jason and Medeia,Man and wife,57,,CollWMW,,"Collins, Wilkie",,"Gardner, John,"
850,The scarlet ruse,Three clerks,64,,TrolATC,,"Trollope, Anthony",,"MacDonald, John D."
851,Recovery,Rob Roy,53,,ScotWRR,,"Scott, Walter, Sir",,"Berryman, John,"
852,The Princess Stakes murde,"The prince of India, or, Why Constantinople fell (Vol. 1/2)",57,,WallLPI,,"Wallace, Lew",,"Platt, Kin,"
853,Small changes,Salem Chapel,64,,OlipMSC,,"Oliphant, Mrs. (Margaret)",,"Piercy, Marge,"
854,Butcher's moon,The moonstone,59,,CollWM,,"Collins, Wilkie",,"Stark, Richard,"
855,The Dispossessed,The professor,62,,BronCP,,"Bronte, Charlotte",,"Le Guin, Ursula K."
856,The giant kill,The entail,67,,GaltJE,,"Galt, John",,"Platt, Kin,"
857,Queen Victoria's revenge,St. Patrick's Eve,49,,LeveCSP,,"Lever, Charles James",,"Harrison, Harry,"
858,The warlock in spite of h,The woman in white,63,,CollWWI,,"Collins, Wilkie",,"Stasheff, Christopher,"
859,The stochastic man,The Bostonians,62,,JameHB,,"James, Henry",,"Silverberg, Robert,"
860,The fury,The sign of four,58,,DoylASF,,"Doyle, Arthur Conan",,"Farris, John,"
861,Interview with the vampir,The house with the green shutters,57,,BrowGHW,,"Brown, George Douglas",,"Rice, Anne"
862,A world out of time,A tale of two cities,56,,DickCTT,,"Dickens, Charles",,"Niven, Larry,"
863,The body beautiful murder,The bravo : a tale (Vol. 1/2),51,,CoopJBT,,"Cooper, James Fenimore",,"Platt, Kin,"
864,Woman on the edge of time,The woman in white,53,,CollWWI,,"Collins, Wilkie",,"Piercy, Marge,"
865,To the Far Blue Mountains,The Fortunate Foundlings,61,,HaywEFF,,"Haywood, Eliza, 1693-1756",,"L'Amour, Louis,"
866,Slapstick,Last Man,47,,ShelMLM,,"Shelley, Mary Wollstonecraft",,"Vonnegut, Kurt,"
867,Patternmaster,Catherine,55,,ThacWC,,"Thackeray, William Makepeace",,"Butler, Octavia E,"
868,Buyer beware,Robert Elsmere,54,,WardHRE,,"Ward, Humphry, Mrs.",,"Lutz, John,"
869,Limo,Felix Holt,43,,ElioGFH,,"Eliot, George",,"Jenkins, Dan,"
870,Captive passions,Persuasion,54,,AustJP,,"Austen, Jane",,"Michaels, Fern,"
871,Oliver's story,Oliver Twist,69,,DickCOT,,"Dickens, Charles",,"Segal, Erich,"
872,Our lady of darkness,Luttrell Of Arran,54,,LeveCLA,,"Lever, Charles James",,"Leiber, Fritz,"
873,Suffer the children,Duke's children,65,,TrolADC,,"Trollope, Anthony",,"Saul, John,"
874,A scanner darkly,A country doctor,50,,JeweSCD,,"Jewett, Sarah Orne",,"Dick, Philip K,"
875,The second deadly sin,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"Sanders, Lawrence,"
876,The power that preserves,The Aspern papers,63,,,,"James, Henry",,"Donaldson, Stephen R,"
877,The end of the matter,The prophet of the Great Smoky Mountains,67,,MurfMPG,,"Murfree, Mary Noailles",,"Foster, Alan Dean,"
878,A spell for Chameleon,A tale of a lonely parish,51,,CrawFTL,,"Crawford, Francis Marion",,"Anthony, Piers,"
879,The Illearth war,Hereward the wake,61,,KingCHW,,"Kingsley, Charles",,"Donaldson, Stephen R,"
880,Zoot-suit murders,Silas Marner,48,,ElioGSM,,"Eliot, George",,"Sanchez, Thomas,"
881,Street of the five moons,Dreamers of the Ghetto,57,,ZangIDG,,"Zangwill, Israel",,"Peters, Elizabeth,"
882,Fletch's fortune,The Fortunate Foundlings,50,,HaywEFF,,"Haywood, Eliza, 1693-1756",,"Mcdonald, Gregory,"
883,Colony,Zofloya,62,,DacrCZ,,"Dacre, Charlotte",,"Bova, Ben,"
884,Tangier,Lothair,57,,DisrBL,,"Disraeli, Benjamin",,"Bayer, William,"
885,The wolfen,Nether world,64,,GissGNW,,"Gissing, George",,"Strieber, Whitley"
886,Splendora,Lavengro,47,,BorrGL,,"Borrow, George Henry",,"Swift, Edward,"
887,Tragic magic,Time machine,50,,WellHTM,,"Wells, H. G.",,"Brown, Wesley,"
888,The black castle,Crotchet Castle,65,,PeacTCC,,"Peacock, Thomas Love",,"Daniels, Les,"
889,The watcher,Esther Waters,75,,MoorGEW,,"Moore, George",,"Wilcox, Collin,"
890,The stand,The Bostonians,70,,JameHB,,"James, Henry",,"King, Stephen,"
891,Shallows of night,Small house at Allington,54,,TrolASH,,"Trollope, Anthony",,"Lustbader, Eric,"
892,Sherlock Holmes vs. Dracu,The adventures of Sherlock Holmes,52,,DoylAAS,,"Doyle, Arthur Conan, Sir",,"Estleman, Loren D,"
893,The Casanova embrace,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,56,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Adler, Warren,"
894,Alongside night,Cloister and hearth,47,,ReadCCH,,"Reade, Charles",,"Schulman, J. Neil 1953-  "
895,The Jerusalem diamond,The Eustace diamonds,83,,TrolAED,,"Trollope, Anthony",,"Gordon, Noah,"
896,Macrolife,Marriage,59,,FerrSM,,"Ferrier, Susan",,"Zebrowski, George,"
897,Masters of Everon,Weir of Hermiston,59,,StevRWH,,"Stevenson, Robert Louis",,"Dickson, Gordon R,"
898,Cross current,A Christmas carol,47,,DickCCC,,"Dickens, Charles",,"Cline, C. Terry,"
899,The dead zone,The Heroine,67,,BarrEH,,"Barrett, Eaton Stannard",,"King, Stephen,"
